Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"CM_111_viscosity_cathode-mPas","K0070",Double,1,R/W,100,,,,,,,,,,"",
"CM_113_particle_size_active_material-micrometer","K0080",Double,1,R/W,100,,,,,,,,,,"",
"CM_113_particle_size_slurry-micrometer","K0090",Double,1,R/W,100,,,,,,,,,,"",
"CM_130_coating_thickness_anode-mm","K0110",Double,1,R/W,100,,,,,,,,,,"",
"CM_210_ridge_height-mmElec","K0180",Double,1,R/W,100,,,,,,,,,,"",
"MS_112_material_weight_active_material-grams","K0030",Double,1,R/W,100,,,,,,,,,,"",
"MS_112_material_weight_additive-grams","K0040",Double,1,R/W,100,,,,,,,,,,"",
"MS_112_material_weight_binder-grams","K0050",Double,1,R/W,100,,,,,,,,,,"",
"MS_112_material_weight_carbon_black-grams","K0060",Double,1,R/W,100,,,,,,,,,,"",
"MS_112_material_weight_solvent-grams","K0020",Double,1,R/W,100,,,,,,,,,,"",
"MS_121_slot_nozzle_anode-mm","K0100",Double,1,R/W,100,,,,,,,,,,"",
"MT_110_mixer","S0130",String,1,R/W,100,,,,,,,,,,"",
"MT_110_mixing_sequence","K0010",Long,1,R/W,100,,,,,,,,,,"",
"MT_120_coatingdrying_sequence","K0120",Long,1,R/W,100,,,,,,,,,,"",
"MT_130_calendering_sequence","K0140",Long,1,R/W,100,,,,,,,,,,"",
"MT_130_sheet_thickness_after_calendering_anode-mm","K0160",Double,1,R/W,100,,,,,,,,,,"",
"MT_130_sheet_thickness_before_calendering_anode-mm","K0150",Double,1,R/W,100,,,,,,,,,,"",
"MT_140_slitting_sequence","K0170",Long,1,R/W,100,,,,,,,,,,"",
